x  y
200862.96900  2685837.75000
199432.39100  2687216.25000
203107.87500  2689296.50000
209056.12500  2701177.25000
215909.79700  2708890.00000
221273.68800  2721992.00000
225389.00000  2722827.75000
224052.96900  2724115.00000
227138.98400  2728570.00000
234398.26600  2728697.50000
232082.68800  2729764.25000
239231.09400  2739248.00000
239930.79700  2746525.00000
254607.70300  2770421.00000
273728.81300  2779131.00000
284620.31300  2780503.00000
291270.90600  2784742.00000
295646.96900  2779749.00000
293835.50000  2784733.00000
290157.68800  2786720.00000
294840.81300  2793800.00000
302915.31300  2798667.75000
311293.90600  2797008.00000
320551.00000  2784770.00000
324703.68800  2783608.00000
323755.50000  2780845.00000
326673.00000  2783336.00000
332110.18800  2779710.00000
342369.31300  2780645.00000
344608.18800  2768502.00000
347728.40600  2769234.00000
350518.81300  2766656.00000
342625.62500  2762845.00000
334539.53100  2753131.50000
332106.56300  2745182.50000
335194.84400  2725568.75000
338780.28100  2722740.75000
336249.93800  2721654.00000
337739.71900  2714762.25000
334443.59400  2712961.25000
336546.31300  2708624.50000
330216.90600  2703224.00000
327458.28100  2689098.75000
317518.03100  2678268.00000
316588.62500  2670563.75000
311777.21900  2663149.50000
315031.84400  2656418.75000
311028.78100  2651049.75000
296480.15600  2579426.25000
289290.93800  2567047.00000
290921.90600  2558015.75000
285814.90600  2554577.00000
280945.93800  2541546.25000
273185.40600  2529525.75000
268856.90600  2527932.25000
269638.34400  2522006.50000
265807.50000  2516935.00000
251922.32800  2506785.75000
237784.23400  2469435.00000
238867.04700  2437576.00000
233072.71900  2431428.25000
234935.14100  2422349.00000
225138.82800  2429205.50000
222236.28100  2424862.00000
219343.03100  2426512.50000
219795.40600  2431118.75000
216792.67200  2436379.75000
220016.40600  2444174.50000
211490.20300  2468667.00000
206872.12500  2474552.00000
190284.65600  2486468.50000
190296.76600  2493025.50000
188961.06300  2486611.50000
177075.00000  2494315.00000
179123.98400  2495612.50000
173336.15600  2501968.00000
174319.35900  2511519.25000
166335.42200  2529378.75000
168721.17200  2528556.75000
167816.39100  2531232.00000
166312.76600  2529449.50000
164398.10900  2534894.25000
164981.23400  2542553.75000
163144.12500  2541595.75000
154042.93800  2550909.00000
152502.34400  2549490.00000
150829.76600  2553497.75000
151935.18800  2557345.75000
155928.32800  2558075.00000
154503.40600  2563761.00000
156459.67200  2563784.75000
153767.01600  2565130.50000
155476.26600  2570821.25000
158808.67200  2572785.00000
159107.71900  2580742.50000
162107.29700  2580004.25000
159706.00000  2581580.00000
163673.59400  2588283.25000
161306.93800  2594624.75000
162536.04700  2598431.00000
159444.53100  2598919.00000
159051.26600  2602017.75000
162698.29700  2603712.75000
160469.65600  2608806.00000
165147.65600  2622406.25000
163746.54700  2625120.75000
170729.71900  2636849.75000
173868.01600  2636944.50000
182015.26600  2651693.50000
180974.15600  2654077.50000
191539.50000  2665298.25000
192137.70300  2672911.25000
194454.87500  2673184.25000
199578.18800  2681546.50000
197796.00000  2684013.75000
199055.50000  2686783.50000
199163.18800  2684482.50000
200862.96900  2685837.75000
